season,week,game_date,punter,punting_team_pfr,dst_team_pfr,game_location,result,punt_attempts,punt_yards,punt_blocks
1947,10,1947-11-02,Bob Kennedy,NYY,BCL,,W 35-21,1,36,1
1947,11,1947-11-09,Frankie Albert,SFO,NYY,@,L 16-24,8,317,1
1947,11,1947-11-09,Spec Sanders,NYY,SFO,,W 24-16,3,40,2
1947,12,1947-11-16,John Galvin,BCL,BDA,@,L 14-21,8,249,1
1947,12,1947-11-16,Glenn Dobbs,LAD,NYY,@,L 13-16,6,277,2
1947,13,1947-11-21,Ernie Lewis,CHR,SFO,,L 16-41,7,242,1
1947,14,1947-12-21,Bob Cifers,PIT,PHI,,L 0-21,9,360,1
1948,1,1948-08-27,Glenn Dobbs,LAD,CHR,@,W 7-0,8,413,1
1948,1,1948-08-27,Mickey Colmer,BDA,NYY,,L 3-21,3,102,1
1948,2,1948-09-03,Glenn Dobbs,LAD,CLE,@,L 14-19,3,99,1
1948,2,1948-09-05,Charlie O'Rourke,BCL,NYY,,W 45-28,5,133,1
1948,3,1948-09-12,Bob Smith,BUF,CLE,,L 13-42,6,191,1
1948,4,1948-09-19,Glenn Dobbs,LAD,SFO,@,L 14-36,8,347,1
1948,10,1948-10-31,Mickey Colmer,BDA,LAD,,L 0-17,7,285,1
1949,2,1949-09-04,Ernie Lewis,CHH,SFO,@,L 7-42,6,203,1
1949,3,1949-09-11,Tom Colella,BUF,NYY,,L 14-17,6,219,1
1949,5,1949-09-22,Tom Landry,NYY,LAD,,W 10-7,2,51,1
1949,10,1949-10-28,George Taliaferro,LAD,CHH,@,W 24-14,3,81,1
1949,11,1949-11-06,Norm Standlee,SFO,BCL,@,W 28-10,3,70,1
1949,11,1949-11-06,Horace Gillom,CLE,CHH,,W 35-2,2,49,1
1949,13,1949-11-20,Tom Landry,NYY,CLE,,L 0-31,5,224,1
1949,13,1949-11-20,Warren Lahr,CLE,NYY,@,W 31-0,4,125,1
1949,13,1949-12-18,Bob Waterfield,RAM,PHI,,L 0-14,9,343,1
1949,14,1949-11-24,George Taliaferro,LAD,NYY,,L 16-17,8,272,1
1950,1,1950-09-17,George Gulyanics,CHI,RAM,@,W 24-20,4,111,1
1950,2,1950-09-22,Bob Waterfield,RAM,NYY,,W 45-28,6,193,1
1950,2,1950-09-22,Spec Sanders,NYY,RAM,@,L 28-45,8,321,1
1950,2,1950-09-24,Sammy Baugh,WAS,GNB,@,L 21-35,3,83,1
